REF,name,vat,street,city,state,ZIP,email,phone,fax,website,Presidente Camara,dbname,in_directory
2552,Município Abrantes,PT502661038,Praça Raimundo Soares,Abrantes,Santarém,2200-366,municipe@cm-abrantes.pt,241330100,241330186,www.cm-abrantes.pt,Maria do Céu de Oliveira Antunes Albuquerque,abrantes.croa.pt,1
2553,Município Águeda,PT501090436,Praça do Município,Águeda,Aveiro,3754-500,geral@cm-agueda.pt,234610070,234610078,www.cm-agueda.pt,Gil Nadais Resende da Fonseca,agueda.croa.pt,1
2554,Município Aguiar Da Beira,PT506809307,"Avenida da Liberdade, N.º 21",Aguiar Da Beira,Guarda,3570-018,geral@cm-aguiardabeira.pt,232689100,232688894,www.cm-aguiardabeira.pt,Joaquim António Marques Bonifácio,aguiardabeira.croa.pt,1
2555,Município Alandroal,PT506772527,Praça da República,Alandroal,Évora,7250-116,cm-alandroal@mail.telepac.pt,268440040,268440041,www.cm-alandroal.pt, Mariana Rosa Gomes Chilra,alandroal.croa.pt,1
2556,Município Albergaria-a-Velha,PT506783146,Praça Ferreira Tavares,Albergaria-a-Velha,Aveiro,3850-053,geral@cm-albergaria.pt,234529300,234522225,www.cm-albergaria.pt,António Augusto Amaral Loureiro e Santos,albergaria.croa.pt,1
2557,Município Albufeira,PT503539473,Rua do Município,Albufeira,Faro,8200-863,geral@cm-albufeira.pt,289599500,289599511,www.cm-albufeira.pt,Carlos Eduardo da Silva e Sousa,albufeira.croa.pt,1
2558,Município Alcácer do Sal,PT502150319,Praça Pedro Nunes,Alcácer do Sal,Setúbal,7580-125,gab.financeiro@m-alcacerdosal.pt,265610040,265610042,www.cm-alcacerdosal.pt,Vítor Manuel Chaves de Caro Proença,alcacerdosal.croa.pt,1
2559,Município Alcanena,PT500745773,Praça 8 de Maio,Alcanena,Santarém,2380-037,geral@cm-alcanena.pt,249889010,249891357,www.cm-alcanena.pt,Fernanda Maria Pereira Asseiceira,alcanena.croa.pt,1
2560,Município Alcobaça,PT506874249,Praça João De Deus Ramos,Alcobaça,Leiria,2461-501,cmalcobaca@cm-alcobaca.pt,262580800,262580850,www.cm-alcobaca.pt,Paulo Jorge Marques Inácio,alcobaca.croa.pt,1
2561,Município Alcochete,PT506788490,Largo de S. João Batista,Alcochete,Setúbal,2890-108,geral@cm-alcochete.pt,212348600,212348690,www.cm-alcochete.pt,Luis Miguel Carraça Franco,alcochete.croa.pt,1
2562,Município Alcoutim,PT506772446,"Rua do Município, N.º 12",Alcoutim,Faro,8970-066,geral@cm-alcoutim.pt,281540500,281546363,www.cm-alcoutim.pt,Osvaldo dos Santos Gonçalves,alcoutim.croa.pt,1
2563,Município Alenquer,PT501305734,Praça Luís de Camões,Alenquer,Lisboa,2580-317,geral@cm-alenquer.pt,263730900,263711504,www.cm-alenquer.pt,Pedro Miguel Ferreira Folgado,alenquer.croa.pt,1
2564,Município Alfândega da Fé,PT506647498,Rua Camilo Mendonça,Alfândega da Fé,Bragança,5350-045,gabinetepresidencia.cmaf@gmail.com,279468120,279463132,www.cm-alfandegadafe.pt,Berta ferreira Milheiro Nunes,alfandegadafe.croa.pt,1
2565,Município Alijó,PT506859487,"Rua General Pedrosa, N.º 13",Alijó,Vila Real,5070-051,geral@cm-alijo.pt,259957100,259959738,www.cm-alijo.pt,Carlos Jorge Vilela da Rocha Magalhães,alijo.croa.pt,1
2566,Município Aljezur,PT505932512,Rua Capitão Salgueiro Maia,Aljezur,Faro,8670-005,geral@cm-aljezur.pt,282990010,282990011,www.cm-aljezur.pt,José Manuel Velhinho Amarelinho,aljezur.croa.pt,1
2567,Município Aljustrel,PT501122486,Avenida 1º de Maio,Aljustrel,Beja,7600-010,geral@mun-aljustrel.pt,284600070,284602055,www.mun-aljustrel.pt,Nelson Domingos Brito,aljustrel.croa.pt,1
2568,Município Almada,PT500051054,Largo Luís de Camões,Almada,Setúbal,2800-158,gab.presidencia@cm-almada.pt,212724534,212724555,www.cm-almada.pt,Joaquim Estêvão Miguel Judas,almada.croa.pt,1
2569,Município Almeida,PT506625419,"Praça da Liberdade, N.º 8",Almeida,Guarda,6350-130,camara@cm-almeida.pt,271570020,271570021,www.cm-almeida.pt,António Baptista Ribeiro,almeida.croa.pt,1
2570,Município Almeirim,PT501273433,Rua 5 de Outubro,Almeirim,Santarém,2080-052,geral@cm-almeirim.pt,243594100,243594138,www.cm-almeirim.pt,Pedro Miguel César Ribeiro,almeirim.croa.pt,1
2571,Município Almodôvar,PT506816184,"Rua Serpa Pinto, N.º 10",Almodôvar,Beja,7700-081,geral@cm-almodovar.pt,286660600,286662282,www.cm-almodovar.pt,António Manuel Ascenção Mestre Bota,almodôvar.croa.pt,1
2572,Município Alpiarça,PT501133097,"Rua José Relvas, N.º 374,   Apartado 25",Alpiarça,Santarém,2094-909,gap@cm-alpiarca.pt,243559100,243559105,www.cm-alpiarca.pt,Mário Fernando Atracado Pereira,alpiarca.croa.pt,1
2573,Município Alter do Chão,PT501132872,"Largo do Município, N.º 2",Alter do Chão,Portalegre,7440-026,geral@cm-alter-chao.pt,245610000,245612431,www.cm-alter-chao.pt,Joviano Martins Vitorino,alterdochao.croa.pt,1
2574,Município Alvaiázere,PT506605949,Praça do Município,Alvaiázere,Leiria,3250-100,geral@cm-alvaiazere.pt,236650600,236650609,www.cm-alvaiazere.pt,Paulo Tito Delgado Morgado,alvaiazere.croa.pt,1
2575,Município Alvito,PT501288120,"Largo do Relógio, N.º 1",Alvito,Beja,7920-022,geral@cm-alvito.pt,284480800,284485157,www.cm-alvito.pt,António João Feio Valério,alvito.croa.pt,1
2576,Município Amadora,PT505456010,Av. Movimento das Forças Armadas,Amadora,Lisboa,2700-595,geral@cm-amadora.pt,214369000,214922082,www.cm-amadora.pt,Carla Maria Nunes Tavares,amadora.croa.pt,1
2577,Município Amarante,PT501102752,Alameda Teixeira de Pascoaes,Amarante,Porto,4600-011,contabilidade@cm-amarante.pt,255420200,255420201,www.cm-amarante.pt,José Luís Gaspar Jorge,amarante.croa.pt,1
2578,Município Amares,PT506797627,Largo do Município,Amares,Braga,4720-058,geral@municipioamares.pt,253993761,253992643,www.cm-amares.pt,Manuel da Rocha Moreira,amares.croa.pt,1
2579,Município Anadia,PT501294163,Praça do Município - Apartado 19,Anadia,Aveiro,3780-909,geral@cm-anadia.pt,231510730,231510749,www.cm-anadia.pt,Maria Teresa Belém Correia Cardoso,anadia.croa.pt,1
2580,Município Angra do Heroísmo,PT512044040,Praça Velha,Angra do Heroísmo,Açores,9701-857,angra@cm-ah.pt,295401700,295212107,www.cm-ah.pt,José Gabriel do Álamo de Meneses,ah.croa.pt,1
2581,Município Ansião,PT506605930,Praça do Município,Ansião,Leiria,3240-153,geral@cm-ansiao.pt,236670200,236677481,www.cm-ansiao.pt,Rui Alexandre Novo e Rocha,ansiao.croa.pt,1
2582,Município Arcos de Valdevez,PT505211696,Praça Municipal,Arcos de Valdevez,Viana do Castelo,4974-003,geral@cmav.pt,258520500,258520509,www.cmav.pt,João Manuel do Amaral Esteves,cmav.croa.pt,1
2583,Município Arganil,PT506833232,"Praça Simões Dias, Apartado 10",Arganil,Coimbra,3304-954,geral@cm-arganil.pt,235200150,235200158,www.cm-arganil.pt,Ricardo João Barata Pereira Alves,arganil.croa.pt,1
2584,Município Armamar,PT506843190,Praça da República,Armamar,Viseu,5110-127,geral@cm-armamar.pt,254241129,,www.cm-armamar.pt,João Paulo Soares Carvalho Pereira da Fonseca,armamar.croa.pt,1
2585,Município Arouca,PT506808122,Praça do Município,Arouca,Aveiro,4540-001,geral@cm-arouca.pt,256940220,256943045,www.cm-arouca.pt,José Artur Tavares Neves,arouca.croa.pt,1
2586,Município Arraiolos,PT501258027,"Praça do Município, N.º 27",Arraiolos,Évora,7040-027,geral@cm-arraiolos.pt,266490240,266490257,www.cm-arraiolos.pt,Sílvia Cristina Tirapicos Pinto,arraiolos.croa.pt,1
2587,Município Arronches,PT501155996,"Praça da República,  Apartado 8",Arronches,Portalegre,7340-012,geral@cm-arronches.pt,245580080,245580081,www.cm-arronches.pt,Fermelinda de Jesus Pombo Carvalho,arronches.croa.pt,1
2588,Município Arruda dos Vinhos,PT505307685,Largo Miguel Bombarda,Arruda dos Vinhos,Lisboa,2630-112,cm-arruda@cm-arruda.pt,263977000,263976586,www.cm-arruda.pt,André Filipe dos Santos Matos Rijo,arruda.croa.pt,1
2589,Município Aveiro,PT505931192,"Praça da República, Apartado 244",Aveiro,Aveiro,3810-156,geral@cm-aveiro.pt,234406300,234406301,www.cm-aveiro.pt,José Agostinho Ribau Esteves,aveiro.croa.pt,1
2590,Município Avis,PT502789824,Largo Cândido dos Reis - Apartado 25,Avis,Portalegre,7480-116,geral@cm-avis.pt,242410060,242410099,www.cm-avis.pt,Nuno Paulo Augusto da Silva,avis.croa.pt,1
2591,Município Azambuja,PT506821480,"Praça do Município, N.º 19",Azambuja,Lisboa,2050-315,geral@cm-azambuja.pt,263400400,263401271,www.cm-azambuja.pt,Luís Manuel Abreu de Sousa,azambuja.croa.pt,1
2592,Município Baião,PT506854299,Praça Heróis do Ultramar,Baião,Porto,4640-158,geral@cm-baiao.pt,255540500,255540510,www.cm-baiao.pt,José Luis Pereira Carneiro,baiao.croa.pt,1
2593,Município Barcelos,PT505584760,Largo do Município,Barcelos,Braga,4750-323,geral@cm-barcelos.pt,253809600,253821263,www.cm-barcelos.pt,Miguel Jorge da Costa Gomes,barcelos.croa.pt,1
2594,Município Barrancos,PT501081216,"Praça do Município, N.º 2",Barrancos,Beja,7230-030,geral@cm-barrancos.pt,285950630,285950638,www.cm-barrancos.pt,António Pica Tereno,barrancos.croa.pt,1
2595,Município Barreiro,PT506673626,Rua Miguel Bombarda,Barreiro,Setúbal,2830-355,geral@cm-barreiro.pt,212068000,212068001,www.cm-barreiro.pt,Carlos Humberto Palácios Pinheiro de Carvalho,barreiro.croa.pt,1
2596,Município Batalha,PT501290206,Rua Infante D. Fernando,Batalha,Leiria,2440-118,geral@cm-batalha.pt,244769110,244769111,www.cm-batalha.pt,Paulo Jorge Frazão Batista dos Santos,batalha.croa.pt,1
2597,Município Beja,PT504884620,Praça da República,Beja,Beja,7800-427,geral@cm-beja.pt,284311800,284322300,www.cm-beja.pt,João Manuel Rocha da Silva,beja.croa.pt,1
2598,Município Belmonte,PT506695956,"Rua Pedro Álvares Cabral, N.º 135",Belmonte,Castelo Branco,6250-088,cmbelmonte@mail.telepac.pt,275910010,275910019,www.cm-belmonte.pt,António Pinto Dias Rocha,belmonte.croa.pt,1
2599,Município Benavente,PT506676056,Praça do Município,Benavente,Santarém,2130-038,gap@cm-benavente.pt,263519600,263519648,www.cm-benavente.pt,Carlos António Pinto Coutinho,benavente.croa.pt,1
2600,Município Bombarral,PT506800580,Largo do Município,Bombarral,Leiria,2540-046,geral@cm-bombarral.pt,262609020,262609041,www.cm-bombarral.pt,José Manuel Gonçalves Vieira,bombarral.croa.pt,1
2601,Município Borba,PT503956546,Praça da República,Borba,Évora,7150-249,presidencia@cm-borba.pt,268891630,268894806,www.cm-borba.pt,António José Lopes Anselmo,borba.croa.pt,1
2602,Município Boticas,PT506886964,Praça do Município,Boticas,Vila Real,5460-304,municipio@cm-boticas.pt,276410200,276410201,www.cm-boticas.pt,Fernando Eirão Queiroga,boticas.croa.pt,1
2603,Município Braga,PT506901173,Praça do Município,Braga,Braga,4704-514,gab.presidencia@cm-braga.pt,253203150,253613387,www.cm-braga.pt,Ricardo Bruno Antunes Machado Rio,braga.croa.pt,1
2604,Município Bragança,PT506215547,Forte S. João de Deus,Bragança,Bragança,5301-902,cmb@cm-braganca.pt,273304200,273304299,www.cm-braganca.pt,Hernâni Dinis Venâncio Dias,braganca.croa.pt,1
2606,Município Cabeceiras de Basto,PT505330334,Praça da República N.º 467,Cabeceiras de Basto,Braga,4860-355,servicoatendimentounico@cabeceirasdebasto.pt,253669100,253662726,www.cm-cabeceiras-basto.pt,Serafim China Pereira,cabeceirasbasto.croa.pt,1
2607,Município Cadaval,PT505763621,Rua Dr. Francisco Sá Carneiro,Cadaval,Lisboa,2550-103,geral@cm-cadaval.pt,262690100,262695270,www.cm-cadaval.pt,José Bernardo Nunes,cadaval.croa.pt,1
2608,Município Caldas da Rainha,PT501222634,Praça 25 de Abril,Caldas da Rainha,Leiria,2500-110,geral@cm-caldas-rainha.pt,262839700,262839729,www.cm-caldas-rainha.pt,Fernando Manuel Tinta Ferreira,caldasdarainha.croa.pt,1
3500,Município Calheta (madeira),PT511233639,"Avenida Dom Manuel I, N.º 46",Calheta (Madeira),Madeira,9370-135,camara@cmcalheta.pt,291820200,291823235,www.cm-calheta-madeira.com,Carlos Manuel Figueira de Ornelas Teles,calhetamadeira.croa.pt,1
2609,Município Calheta (São Jorge),PT512074089,Rua 25 de Abril,Calheta (São Jorge),Açores,9850-032,scrf@cm-calheta.pt,295416324,295416437,www.cm-calheta.pt,Décio Natálio Almada Pereira,calhetasaojorge.croa.pt,1
2605,Município Câmara de Lobos,PT511233620,Praça da Autonomia,Câmara de Lobos,Madeira,9304-001,geral@cm-camaradelobos.pt,291911080,291944499,www.cm-camaradelobos.pt,Pedro Emanuel Abreu Coelho,camaradelobos.croa.pt,1
2610,Município Caminha,PT500843139,Praça Conselheiro Silva Torres,Caminha,Viana do Castelo,4910-122,geral@cm-caminha.pt,258710300,258710319,www.cm-caminha.pt,Luís Miguel da Silva Mendonça Alves,caminha.croa.pt,1
2611,Município Campo Maior,PT501175229,Praça da República,Campo Maior,Portalegre,7370-954,geral@cm-campo-maior.pt,268680300,268688937,www.cm-campo-maior.pt,Ricardo Miguel Furtado Pinheiro,campomaior.croa.pt,1
2612,Município Cantanhede,PT506087000,Praça Marquês de Marialva - Apartado 154,Cantanhede,Coimbra,3064-909,geral@cm-cantanhede.pt,231410100,231410199,www.cm-cantanhede.pt,João Carlos Vidaurre Pais de Moura,cantanhede.croa.pt,1
2613,Município Carrazeda de Ansiães,PT506666018,Rua Jerónimo Barbosa,Carrazeda de Ansiães,Bragança,5140-077,geral@cmca.pt,278610200,278616404,www.cm-carrazedadeansiaes.pt,José Luís Correia,carrazedadeansiaes.croa.pt,1
2614,Município Carregal do Sal,PT506684920,Praça do Município,Carregal do Sal,Viseu,3430-909,geral@cm-carregal.pt,232960400,232960409,www.cm-csal.pt,Rogério Mota Abrantes,carregaldosal.croa.pt,1
2615,Município Cartaxo,PT506780902,Praça 15 de Dezembro,Cartaxo,Santarém,2070-050,correio@cm-cartaxo.pt,243700250,243700268,www.cm-cartaxo.pt,Pedro Miguel Magalhães Ribeiro,cartaxo.croa.pt,1
2616,Município Cascais,PT505187531,Praça 5 de Outubro,Cascais,Lisboa,2754-501,gab.municipe@cm-cascais.pt,214825000,214825030,www.cm-cascais.pt,Carlos Manuel Lavrador de Jesus Carreiras,cascais.croa.pt,1
2617,Município Castanheira de Pêra,PT506731324,Praça Visconde de Castanheira de Pêra,Castanheira de Pêra,Leiria,3280-017,camara@cm-castanheiradepera.pt,236430280,236432307,www.cm-castanheiradepera.pt,Fernando José Pires Lopes,castanheiradepera.croa.pt,1
2618,Município Castelo Branco,PT501143530,Praça do Município,Castelo Branco,Castelo Branco,6000-148,camara@cm-castelobranco.pt,272330330,272330324,www.cm-castelobranco.pt,Luís Manuel dos Santos Correia,castelobranco.croa.pt,1
