"id","code","name","country_id/id"
"base.state_pt_pt-01","01","Aveiro","base.pt"
"base.state_pt_pt-02","02","Beja","base.pt"
"base.state_pt_pt-03","03","Braga","base.pt"
"base.state_pt_pt-04","04","Bragança","base.pt"
"base.state_pt_pt-05","05","Castelo Branco","base.pt"
"base.state_pt_pt-06","06","Coimbra","base.pt"
"base.state_pt_pt-07","07","Évora","base.pt"
"base.state_pt_pt-08","08","Faro","base.pt"
"base.state_pt_pt-09","09","Guarda","base.pt"
"base.state_pt_pt-10","10","Leiria","base.pt"
"base.state_pt_pt-11","11","Lisboa","base.pt"
"base.state_pt_pt-12","12","Portalegre","base.pt"
"base.state_pt_pt-13","13","Porto","base.pt"
"base.state_pt_pt-14","14","Santarém","base.pt"
"base.state_pt_pt-15","15","Setúbal","base.pt"
"base.state_pt_pt-16","16","Viana do Castelo","base.pt"
"base.state_pt_pt-17","17","Vila Real","base.pt"
"base.state_pt_pt-18","18","Viseu","base.pt"
"base.state_pt_pt-20","20","Açores","base.pt"
"base.state_pt_pt-30","30","Madeira","base.pt"
"__export__.res_country_state_665","31","Ilha da Madeira","base.pt"
"__export__.res_country_state_666","32","Ilha de Porto Santo","base.pt"
"__export__.res_country_state_667","41","Ilha de Santa Maria","base.pt"
"__export__.res_country_state_668","42","Ilha de São Miguel","base.pt"
"__export__.res_country_state_669","43","Ilha Terceira","base.pt"
"__export__.res_country_state_670","44","Ilha da Graciosa","base.pt"
"__export__.res_country_state_671","45","Ilha de São Jorge","base.pt"
"__export__.res_country_state_672","46","Ilha do Pico","base.pt"
"__export__.res_country_state_673","47","Ilha do Faial","base.pt"
"__export__.res_country_state_674","48","Ilha das Flores","base.pt"
"__export__.res_country_state_675","49","Ilha do Corvo","base.pt"
"__export__.res_country_state_650","Fundao","Castelo Branco (err)","base.pt"
"__export__.res_country_state_646","Fundão","Castelo Branco (err)","base.pt"
