"id","country_id/id","code","name","local_ids/id","state_id/id"
"__export__.res_county_309","base.pt","1401","Abrantes","__export__.res_county_local_4070","base.state_pt_pt-14"
"","","","","__export__.res_county_local_4071",""
"","","","","__export__.res_county_local_4184",""
"","","","","__export__.res_county_local_4212",""
"","","","","__export__.res_county_local_4282",""
"","","","","__export__.res_county_local_4589",""
"","","","","__export__.res_county_local_4893",""
"","","","","__export__.res_county_local_5079",""
"","","","","__export__.res_county_local_5456",""
"","","","","__export__.res_county_local_6001",""
"","","","","__export__.res_county_local_6219",""
"","","","","__export__.res_county_local_6522",""
"","","","","__export__.res_county_local_6878",""
"","","","","__export__.res_county_local_6917",""
"","","","","__export__.res_county_local_7170",""
"","","","","__export__.res_county_local_7268",""
"","","","","__export__.res_county_local_7522",""
"","","","","__export__.res_county_local_7636",""
"","","","","__export__.res_county_local_7753",""
"__export__.res_county_310","base.pt","0101","Agueda","__export__.res_county_local_4093","base.state_pt_pt-01"
"","","","","__export__.res_county_local_4099",""
"","","","","__export__.res_county_local_4100",""
"","","","","__export__.res_county_local_4115",""
"","","","","__export__.res_county_local_4551",""
"","","","","__export__.res_county_local_4580",""
"","","","","__export__.res_county_local_4652",""
"","","","","__export__.res_county_local_4938",""
"","","","","__export__.res_county_local_5301",""
"","","","","__export__.res_county_local_5377",""
"","","","","__export__.res_county_local_5789",""
"","","","","__export__.res_county_local_5930",""
"","","","","__export__.res_county_local_5935",""
"","","","","__export__.res_county_local_6314",""
"","","","","__export__.res_county_local_6723",""
"","","","","__export__.res_county_local_6797",""
"","","","","__export__.res_county_local_7360",""
"","","","","__export__.res_county_local_7652",""
"","","","","__export__.res_county_local_7667",""
"","","","","__export__.res_county_local_7790",""
"__export__.res_county_311","base.pt","0901","Aguiar da Beira","__export__.res_county_local_4119","base.state_pt_pt-09"
"","","","","__export__.res_county_local_4846",""
"","","","","__export__.res_county_local_5106",""
"","","","","__export__.res_county_local_5112",""
"","","","","__export__.res_county_local_5222",""
"","","","","__export__.res_county_local_5239",""
"","","","","__export__.res_county_local_5470",""
"","","","","__export__.res_county_local_5659",""
"","","","","__export__.res_county_local_6538",""
"","","","","__export__.res_county_local_6619",""
"","","","","__export__.res_county_local_7406",""
"","","","","__export__.res_county_local_7527",""
"","","","","__export__.res_county_local_7795",""
"__export__.res_county_312","base.pt","0701","Alandroal","__export__.res_county_local_4134","base.state_pt_pt-07"
"","","","","__export__.res_county_local_4837",""
"","","","","__export__.res_county_local_5749",""
"","","","","__export__.res_county_local_7101",""
"","","","","__export__.res_county_local_7153",""
"","","","","__export__.res_county_local_7580",""
"__export__.res_county_313","base.pt","0102","Albergaria-a-Velha","__export__.res_county_local_4136","base.state_pt_pt-01"
"","","","","__export__.res_county_local_4257",""
"","","","","__export__.res_county_local_4330",""
"","","","","__export__.res_county_local_4673",""
"","","","","__export__.res_county_local_5539",""
"","","","","__export__.res_county_local_6856",""
"","","","","__export__.res_county_local_7202",""
"","","","","__export__.res_county_local_7784",""
"__export__.res_county_314","base.pt","0801","Albufeira","__export__.res_county_local_4140","base.state_pt_pt-08"
"","","","","__export__.res_county_local_5391",""
