"id","country_id/id","county_id/id","name","state_id/id","code"
"__export__.res_county_local_4051","base.pt","__export__.res_county_422","Abação (São Tomé)","base.state_pt_pt-03","030864"
"__export__.res_county_local_4052","base.pt","__export__.res_county_607","Abaças","base.state_pt_pt-17","171401"
"__export__.res_county_local_4053","base.pt","__export__.res_county_350","Abade de Neiva","base.state_pt_pt-03","030201"
"__export__.res_county_local_4054","base.pt","__export__.res_county_600","Abade de Vermoim","base.state_pt_pt-03","031201"
"__export__.res_county_local_4055","base.pt","__export__.res_county_362","Abadim","base.state_pt_pt-03","030401"
"__export__.res_county_local_4056","base.pt","__export__.res_county_459","Abambres","base.state_pt_pt-04","040701"
"__export__.res_county_local_4057","base.pt","__export__.res_county_463","Abedim","base.state_pt_pt-16","160401"
"__export__.res_county_local_4058","base.pt","__export__.res_county_542","Abela","base.state_pt_pt-15","150901"
"__export__.res_county_local_4059","base.pt","__export__.res_county_541","Abitureiras","base.state_pt_pt-14","141601"
"__export__.res_county_local_4060","base.pt","__export__.res_county_509","Abiul","base.state_pt_pt-10","101501"
"__export__.res_county_local_4061","base.pt","__export__.res_county_334","Aboadela","base.state_pt_pt-13","130101"
"__export__.res_county_local_4062","base.pt","__export__.res_county_439","Aboboreira","base.state_pt_pt-14","141301"
"__export__.res_county_local_4063","base.pt","__export__.res_county_402","Aboim","base.state_pt_pt-03","030701"
"__export__.res_county_local_4064","base.pt","__export__.res_county_334","Aboim","base.state_pt_pt-13","130102"
"__export__.res_county_local_4065","base.pt","__export__.res_county_610","Aboim da Nóbrega","base.state_pt_pt-03","031301"
"__export__.res_county_local_4066","base.pt","__export__.res_county_339","Aboim das Choças","base.state_pt_pt-16","160101"
"__export__.res_county_local_4067","base.pt","__export__.res_county_350","Aborim","base.state_pt_pt-03","030202"
"__export__.res_county_local_4068","base.pt","__export__.res_county_541","Abrã","base.state_pt_pt-14","141602"
"__export__.res_county_local_4069","base.pt","__export__.res_county_501","Abragão","base.state_pt_pt-13","131101"
"__export__.res_county_local_4070","base.pt","__export__.res_county_309","Abrantes (São João)","base.state_pt_pt-14","140111"
"__export__.res_county_local_4071","base.pt","__export__.res_county_309","Abrantes (São Vicente)","base.state_pt_pt-14","140113"
"__export__.res_county_local_4072","base.pt","__export__.res_county_614","Abraveses","base.state_pt_pt-18","182301"
"__export__.res_county_local_4073","base.pt","__export__.res_county_459","Abreiro","base.state_pt_pt-04","040702"
"__export__.res_county_local_4074","base.pt","__export__.res_county_320","Abrigada","base.state_pt_pt-11","110101"
"__export__.res_county_local_4075","base.pt","__export__.res_county_469","Abrunheira","base.state_pt_pt-06","061001"
"__export__.res_county_local_4076","base.pt","__export__.res_county_445","Abrunhosa-a-Velha","base.state_pt_pt-18","180601"
"__export__.res_county_local_4077","base.pt","__export__.res_county_541","Achete","base.state_pt_pt-14","141603"
"__export__.res_county_local_4078","base.pt","__export__.res_county_575","Açoreira","base.state_pt_pt-04","040901"
"__export__.res_county_local_4079","base.pt","__export__.res_county_382","Açores","base.state_pt_pt-09","090301"
"__export__.res_county_local_4080","base.pt","__export__.res_county_350","Adães","base.state_pt_pt-03","030203"
"__export__.res_county_local_4081","base.pt","__export__.res_county_421","Adão","base.state_pt_pt-09","090701"
"__export__.res_county_local_4082","base.pt","__export__.res_county_360","Adaúfe","base.state_pt_pt-03","030301"
"__export__.res_county_local_4083","base.pt","__export__.res_county_326","Ade","base.state_pt_pt-09","090201"
"__export__.res_county_local_4084","base.pt","__export__.res_county_575","Adeganha","base.state_pt_pt-04","040902"
"__export__.res_county_local_4085","base.pt","__export__.res_county_569","Adorigo","base.state_pt_pt-18","181901"
"__export__.res_county_local_4086","base.pt","__export__.res_county_577","A dos Cunhados","base.state_pt_pt-11","111301"
"__export__.res_county_local_4087","base.pt","__export__.res_county_364","A dos Francos","base.state_pt_pt-10","100601"
"__export__.res_county_local_4088","base.pt","__export__.res_county_481","A dos Negros","base.state_pt_pt-10","101201"
"__export__.res_county_local_4089","base.pt","__export__.res_county_607","Adoufe","base.state_pt_pt-17","171402"
"__export__.res_county_local_4090","base.pt","__export__.res_county_588","Afife","base.state_pt_pt-16","160901"
"__export__.res_county_local_4091","base.pt","__export__.res_county_605","Afonsim","base.state_pt_pt-17","171301"
"__export__.res_county_local_4092","base.pt","__export__.res_county_470","Afonsoeiro","base.state_pt_pt-15","150708"
"__export__.res_county_local_4093","base.pt","__export__.res_county_310","Agadão","base.state_pt_pt-01","010101"
"__export__.res_county_local_4094","base.pt","__export__.res_county_383","Agilde","base.state_pt_pt-03","030501"
"__export__.res_county_local_4095","base.pt","__export__.res_county_543","Agrela","base.state_pt_pt-13","131401"
"__export__.res_county_local_4096","base.pt","__export__.res_county_402","Agrela","base.state_pt_pt-03","030702"
"__export__.res_county_local_4097","base.pt","__export__.res_county_321","Agrobom","base.state_pt_pt-04","040101"
"__export__.res_county_local_4098","base.pt","__export__.res_county_613","Agrochão","base.state_pt_pt-04","041201"
"__export__.res_county_local_4099","base.pt","__export__.res_county_310","Aguada de Baixo","base.state_pt_pt-01","010102"
"__export__.res_county_local_4100","base.pt","__export__.res_county_310","Aguada de Cima","base.state_pt_pt-01","010103"
"__export__.res_county_local_4101","base.pt","__export__.res_county_498","Agualonga","base.state_pt_pt-16","160501"
"__export__.res_county_local_4102","base.pt","__export__.res_county_543","Água Longa","base.state_pt_pt-13","131402"
"__export__.res_county_local_4103","base.pt","__export__.res_county_562","Agualva","base.state_pt_pt-11","111118"
"__export__.res_county_local_4104","base.pt","__export__.res_county_584","Água Revés e Crasto","base.state_pt_pt-17","171201"
"__export__.res_county_local_4105","base.pt","__export__.res_county_503","Águas","base.state_pt_pt-05","050701"
"__export__.res_county_local_4106","base.pt","__export__.res_county_406","Águas Belas","base.state_pt_pt-14","141101"
"__export__.res_county_local_4107","base.pt","__export__.res_county_534","Águas Belas","base.state_pt_pt-09","091101"
"__export__.res_county_local_4108","base.pt","__export__.res_county_551","Águas Boas","base.state_pt_pt-18","181701"
"__export__.res_county_local_4109","base.pt","__export__.res_county_385","Águas Frias","base.state_pt_pt-17","170301"
"__export__.res_county_local_4111","base.pt","__export__.res_county_523","Águas Santas","base.state_pt_pt-03","030901"
"__export__.res_county_local_4110","base.pt","__export__.res_county_444","Águas Santas","base.state_pt_pt-13","130601"
"__export__.res_county_local_4112","base.pt","__export__.res_county_458","Águas Vivas","base.state_pt_pt-04","040617"
"__export__.res_county_local_4113","base.pt","__export__.res_county_524","Aguçadoura","base.state_pt_pt-13","131302"
"__export__.res_county_local_4114","base.pt","__export__.res_county_409","Aguda","base.state_pt_pt-10","100801"
"__export__.res_county_local_4115","base.pt","__export__.res_county_310","Águeda","base.state_pt_pt-01","010104"
"__export__.res_county_local_4116","base.pt","__export__.res_county_339","Aguiã","base.state_pt_pt-16","160102"
"__export__.res_county_local_4117","base.pt","__export__.res_county_587","Aguiar","base.state_pt_pt-07","071303"
"__export__.res_county_local_4118","base.pt","__export__.res_county_350","Aguiar","base.state_pt_pt-03","030204"
"__export__.res_county_local_4119","base.pt","__export__.res_county_311","Aguiar da Beira","base.state_pt_pt-09","090101"
"__export__.res_county_local_4120","base.pt","__export__.res_county_497","Aguiar de Sousa","base.state_pt_pt-13","131001"
"__export__.res_county_local_4121","base.pt","__export__.res_county_478","Aguieira","base.state_pt_pt-18","180907"
"__export__.res_county_local_4122","base.pt","__export__.res_county_459","Aguieiras","base.state_pt_pt-04","040703"
"__export__.res_county_local_4123","base.pt","__export__.res_county_336","Aguim","base.state_pt_pt-01","010315"
"__export__.res_county_local_4124","base.pt","__export__.res_county_404","Aião","base.state_pt_pt-13","130301"
"__export__.res_county_local_4125","base.pt","__export__.res_county_404","Airães","base.state_pt_pt-13","130302"
"__export__.res_county_local_4126","base.pt","__export__.res_county_422","Airão (Santa Maria)","base.state_pt_pt-03","030844"
"__export__.res_county_local_4127","base.pt","__export__.res_county_422","Airão (São João Baptista)","base.state_pt_pt-03","030853"
"__export__.res_county_local_4128","base.pt","__export__.res_county_350","Airó","base.state_pt_pt-03","030205"
